Item,Preço
N.p.p.e.  Leave-in  Sh-rd Protein Cream  50 Ml  Promoção,28.4
10x Papel Lençol Maca Hospitalar Eco 70x50,106.9
Geleia De Vaselina 100% Pura Original Vasenol Pote 100g Tipo De Embalagem Pote,28.4
Mel Cola Anna Telles 300g Definidor Cachos Orgânico,24.98
1000ml  Glicerina Bidestilada Usp Vegetal + Laudo E Nf,21.41
Pomada Preta Massageadora Premium Bio Instinto 150g,13.9
Juba Mousse Criador De Cachos Widi Care,41.9
1 Shaving Para Barba 500g - Elfa For Man - Direto Da Fábrica,78.99
Óleo Essencial De Vetiver 5ml Harmonie 100% Puro E Natural,12.09
Pomada Massageadora Original Fisio Forte Preta Premium Tipo De Embalagem Caixa Fragrância Pomada,36.9
 Aussie 3 Minute Miracle Mega Moist de 236mL,19.29
Creme Dental Oral-b 3d White - 70g Leve 3 Pague 2,33.98
Fixodent Original 100% 68g,14.84
Jawline Exercício De Mandíbula Definir Mandíbula Jawliner,18.77
Sabão em barra Protex Antibacteriano Macadâmia de 85 g pacote x 6,53.9
Sabonete Antisséptico 05 Litros - Start Erva Doce Full,125.13
Borabella Nao Chore Mais Passo 2 Antifrizz Profissional 1l,5.99
Creme Dental Colgate Total 12 Whitening Menta 90g,24.32
Lençol Descartavel Papel Hospitalar Maca 70x50 2 Rolos,53.69
Wella Professionals Oil Reflections Light  30ml,113.05
Creme Facial Clareador Nova Pele - Melasma ,139.9
Selagem 3d Borabella 1 Litro Blonde,27.9
Escova Eléctrica Vitality 100 Oral-b 220v,7.49
Sabonete Líquido Audax Gold Erva Doce 5l,14.49
Gel Dental Colgate Natural Extracts Defesa Reforçada 90g,126.91
Fio Dental Oral-b Essential Floss 50m,64.4
Hidratei Shrp - Creme De Proteína Vegana Restauração Total,11.05
Óleo De Tratamento Cadiveu Açaí Oil 110ml Ação Antioxidante,78.01
Lenços de papel descartáveis Kleenex  Kids Suave em caixa 100 u,9.19
Lençol Descartável Papel Hospitalar Maca 50x50mt - 10 Rolos,69.97
Absorvente Interno Procomfort Super 8 Unidades O.b.,199.36
"Fralda Geriátrica Descartável Confort Master Adulto, Atacado",29.55
Moroccanoil Original - Óleo Capilar 125ml,18.39
"Escova Interdental Gum Proxabrush 1,1mm Fino Cônico Com 40 Unidades",31.79
Spray Bucal Antibacteriano Colgate Total 12 Extra Mint 60ml,54.57
Protetor solar Nutriex Profissional FPS 60 Ação Repelente 1 unidade de 120 mL,44.9
Oil Umectante Cacho Mágico Lowell 60ml Óleo Cachos Mágicos ,17.98
Gel Clareador Antiacne Creamy noite para todos os tipos de pele de 30g,14.03
Creme Ativador Cachos Ondulados E Cacheados Arvensis 300ml,115.5
Agulha Para Despigmentador Jato De Plasma 10 Unidades,36.71
Sérum Retinol Principia noite para todos os tipos de pele de 30mL,55.97
16 Pçs Reutilizável Silicone Anti-rugas Rosto Testa Adesivo ,24.15
Sabonete líquido Rexona Limpeza Profunda Antibacterial em líquido 1 L,3.6
Fluido Extreme-up Blinda Fios Proteção Térmica 200ml,66.5
Fluido Extreme-up Blinda Fios Proteção Térmica 200ml,115.5
Fraldas para adultos Bigfral  Derma Plus G x 16 u,66.5
Protetor Labial Manteiga Cacau Pharma Pote C/ 72 Peças,94.9
Bolas De Algodão Farol 50 Gramas Limpeza Corporal E Facial,8.19
Condicionador Dove Reconstrução Completa 400ml,17.9
Recondicionador Leave-in Bifásico Xtreme Repair 210ml - Doha,69.8
Protetores diários Intimus Frescor Diário 40 u,9.8
Carga para lâmina de barbear Gillette Skinguard 4 u,64.99
Lâminas De Barbear Lord Platinum 100 Un.,24.08
Camisinha Preservativo Rilex Lubrificado Caixa 144 Unidades,57.9
Máscara Capilar Cauter Restore 500g Forever Liss,28.9
Dermaplaning Kit Estética Cabo N°4 + 100 Laminas Nº 21,39.89
Gel Anticongelante Criolipólise All Care Blue Ice 560g- Rmc,81.53
Condicionador Condicionando A Juba Widi Care 500ml,49.23
Camisinha Skyn Elite 16 Unidades,48.9
Elixir Beautycolor Óleo De Coco 40ml,23.4
Luva Látex Procedimento Descartável Pp P M G - Caixa C/ 100,21.49
Fraldas para adultos Tena  Descartável Pants Noturna G/EG x 7 u,32.9
"Curativo Bota De Unna Heal Casex 10,2cm X 9,14cm Bandagem",35.99
Flosser Fio Dental Com Haste Gum C40 Unidades Menta Original,28.4
Geleia Ativadora Cachos Alta Fixação Arvensis Vegana 250g,44.9
Loção Hidratante Umidita Gestante 200ml Hidratante Corporal,81.79
Papel Higiênico Folha Dupla 30m Carrefour - 16 Unidades,20.9
Carga para lâmina de barbear Gillette Mach3 Sensitive 8 u,54.56
Shampoo Mirtilo 1 Litro Lowell Profissional,85.72
Lençol Papel Descartavel Hospitalar Maca 70x50 Cx 10 Rolos,99.88
Creme De Tratamento Novex Super Babosão 400g,12.44
Sabonete Líquido Intimo Talco  210ml Apinil,3.94
Água Termal Spray 200ml Wnf Hidratante E Relaxamento Facial,19.54
Strax Loção Hidratante De Argan Desodorante Corporal Hinode,51.9
Shampoo Seda Recarga Natural Bambu E Biotina Frasco 325ml,9.49
Amend Specialist Blonde - Máscara Matizadora 300g,22.8
Pasta de dentes Elmex Sensitive  em creme 110 g,22.99
Óleo Essencial Bergamot Italy 10 Ml - Bergamota - Via Aroma ,9.9
Sérum Vitamina C-10 Principia dia/noite para todos os tipos de pele de 30mL,38.3
Removedor De Tártaro Dental Elétrico,105.9
Escova Dental Colgate Classic Clean - 3 Unidades,94.25
Kit Progressiva Orgânica Japonesa 300ml - Japinha Cosmeticos,31.49
Clareador De Pele Contra Manchas E Estrias Rosa Selvagem ,69.32
Produtos Para Barba Balm Shampoo Condicionador Óleo Pomada ,66.9
Parafina Bronzeadora Duotrato Cenoura E Urucum 140g,42.95
Fluído Reparador Essential Braé Hair Repair Spray 260ml + Bd,139.9
Acidificante Antiporosidade Acid-c Curly Care 300g,24.88
